Date,UK,England and Wales,England,Scotland,Wales,Northern Ireland,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West
30/01/2020,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
,,,,,,,,,,,,,,,
02/02/2020,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
,,,,,,,,,,,,,,,
22/02/2020,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
,,,,,,,,,,,,,,,
02/03/2020,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/03/2020,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
05/03/2020,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0
06/03/2020,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0
07/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/03/2020,2,2,2,0,0,0,0,1,0,0,1,0,0,0,0
09/03/2020,5,5,5,0,0,0,0,0,0,0,1,1,2,1,0
10/03/2020,3,3,3,0,0,0,0,0,0,0,1,1,1,0,0
11/03/2020,7,7,7,0,0,0,0,1,0,1,1,1,2,0,1
12/03/2020,13,11,11,2,0,0,0,0,0,1,4,0,6,0,0
13/03/2020,16,16,16,0,0,0,0,3,0,1,2,2,6,2,0
14/03/2020,21,19,19,2,0,0,0,3,0,0,2,0,10,3,1
15/03/2020,30,30,28,1,1,0,1,4,2,0,4,1,8,7,1
16/03/2020,49,47,43,3,3,0,0,2,2,4,8,2,14,9,2
17/03/2020,58,55,54,3,1,0,0,6,2,1,8,2,26,7,2
18/03/2020,73,68,66,4,2,1,0,6,2,4,9,1,28,13,3
19/03/2020,79,75,71,4,4,0,0,9,1,3,8,6,31,9,4
20/03/2020,117,112,108,5,4,0,3,8,2,6,19,2,49,16,3
21/03/2020,141,134,124,7,9,1,3,12,2,4,17,8,55,15,8
22/03/2020,182,175,171,6,4,1,6,17,2,12,23,11,64,30,6
23/03/2020,206,197,188,7,7,4,4,20,6,10,29,12,69,27,11
24/03/2020,262,247,236,12,11,3,2,22,7,17,30,23,97,31,7
25/03/2020,336,310,298,22,12,4,6,22,8,12,45,22,135,39,9
26/03/2020,409,385,370,23,12,4,8,34,16,18,55,36,146,48,9
27/03/2020,463,434,416,23,18,6,13,43,20,24,59,37,155,53,12
28/03/2020,516,470,449,37,21,9,11,43,25,29,76,41,148,47,29
29/03/2020,584,554,530,27,23,4,9,62,32,27,76,56,175,65,28
30/03/2020,708,651,629,51,21,7,36,80,32,27,87,55,196,84,32
31/03/2020,827,765,740,58,21,8,30,81,42,44,114,79,239,86,25
01/04/2020,919,849,823,65,24,7,35,116,42,50,131,84,237,96,32
02/04/2020,"1,005",931,891,61,39,14,41,134,55,55,137,77,255,103,34
03/04/2020,"1,055",972,926,75,41,13,55,132,65,62,102,91,267,106,46
04/04/2020,"1,143","1,074","1,020",56,53,14,47,124,75,73,127,83,286,145,60
05/04/2020,"1,215","1,114","1,060",86,53,16,51,156,68,81,135,106,272,135,56
06/04/2020,"1,167","1,071","1,024",91,45,7,58,141,72,82,115,87,272,140,57
07/04/2020,"1,288","1,196","1,142",84,53,9,54,191,83,62,112,128,295,154,63
08/04/2020,"1,456","1,357","1,283",92,72,9,59,176,102,80,162,136,327,161,80
09/04/2020,"1,368","1,239","1,174",108,61,25,63,164,100,89,128,115,275,194,46
10/04/2020,"1,320","1,212","1,163",99,49,9,79,167,103,78,133,97,241,174,91
11/04/2020,"1,359","1,252","1,199",95,50,15,73,197,77,86,146,126,249,171,74
12/04/2020,"1,368","1,276","1,201",74,73,20,63,206,90,92,136,142,236,165,71
13/04/2020,"1,226","1,133","1,074",79,57,16,51,188,86,74,119,109,228,159,60
14/04/2020,"1,252","1,138","1,081",100,55,16,67,195,93,88,117,97,213,150,61
15/04/2020,"1,273","1,159","1,098",94,60,21,46,189,109,81,133,114,202,158,66
16/04/2020,"1,316","1,201","1,144",101,55,16,47,214,121,64,131,118,202,174,73
17/04/2020,"1,266","1,172","1,106",85,61,14,59,160,116,87,141,133,170,158,82
18/04/2020,"1,183","1,079","1,025",95,53,10,68,199,94,73,123,102,167,136,63
19/04/2020,"1,122","1,016",967,90,49,16,58,130,101,80,107,96,156,165,74
